id	isv	addition	partOfSpeech
4383	arhaizm		m.
37568	arheja		f.
4419	arheolog		m.anim.
4420	arheologičny		adj.
4418	arheologija		f.sg.
6166	arhiepiskop		m.anim.
36677	arhipelag		m.
4893	arhitekt		m.anim.
4894	arhitektura		f.sg.
35659	arhitekturny		adj.
35235	arhiv		m.
37569	arhivacija		f.
35281	arhivny		adj.
35236	arhivovati		v.tr. ipf./pf.
37570	arijsky		adj.
5721	aristokracija		f.sg.
5720	aristokrat		m.anim.
5722	aristokratičny		adj.
37592	aristokratizm		m.
17124	aristokratka		f.
21256	aritmetika		f.sg.
17126	arka		f.
38026	Arkadija		f.
23500	Arktičny okean		m.sg.
5920	arktičny		adj.
6206	Arktika		f.sg.
5059	Armenija		f.sg.
5060	arměńsky		adj.
123	armija		f.
1851	arogancija		f.sg.
35635	arogantny		adj.
24324	aromat		m.
22625	arsen		m.sg.
34	arsenal		m.
35705	artefakt		m.
15244	arterija		f.
24325	artikulacija		f.
24326	artilerija		f.sg.
37571	artilerijsky		adj.
33	artist		m.anim.
15768	artističny		adj.
37572	artroza		f.
31843	as		m.
24327	asfalt		m.sg.
24328	asfaltobeton		m.sg.
37593	asfaltovańje		n.
36762	asimetričny		adj.
16263	asimilacija		f.sg.
6246	asimilovati		v.tr. ipf.
37594	asinhronny		adj.
37595	asket		m.anim.
37596	asketičny		adj.
37597	askorbinovy		adj.
35787	asociacija		f.
37598	asociativnosť		f.
19641	aspekt		m.
37599	asteničny		adj.
21257	asteroid		m.
31854	astma		f.sg.
22973	astrolog		m.anim.
16264	astrologičny		adj.
4895	astrologija		f.sg.
24330	astronavt		m.anim.
21258	astronom		m.anim.
16265	astronomičny		adj.
18	astronomija		f.sg.
32	ataka		f.
3970	atakovati		v.tr. ipf.
37600	ataman		m.anim.
37601	atamańsky		adj.
23503	ateist		m.anim.
23502	ateizm		m.sg.
16923	atematičny		adj.
38028	Atinjan, Atinjanin		m.anim.
38027	atińsky, ateńsky		adj.
23526	Atiny		f.pl.
23497	Atlantičny okean		m.sg.
35020	atlantičny		adj.
37248	Atlantida		f.sg.
37322	atlas		m.
